Name,Year,Genres,Budget,domestic_gross,foreign_gross,worldwide_gross
dambé: the mali project,2008.0,"music, musical, documentary",,,,
dame chance,1926.0,"romance film, drama",,,,
dames,1934.0,"black-and-white, musical comedy, musical, pre-code, comedy, romance film",,,,
dames and dentists,1920.0,"short film, silent film, indie, black-and-white",,,,
damien: omen ii,1978.0,"thriller, demonic child, horror, supernatural, cult, mystery, crime thriller",,,,
damini,1993.0,bollywood,,,,
dammu,2012.0,action,,,,
damn good dog,2004.0,documentary,,,,
damn yankees,1958.0,"sports, musical, fantasy, comedy",,,,
damnation alley,1977.0,"science fiction, doomsday film, road movie, apocalyptic and post-apocalyptic fiction, disaster, action, dystopia",17000000.0,,,
damned - the strange world of josé mojica marins,2001.0,"indie, documentary",,,,
damon's law,1987.0,action,,,,
damsels in distress,2011.0,"romantic comedy, romance film, drama, comedy",3000000.0,,,
damul,1985.0,drama,,,,
dan finnerty & the dan band:i am woman,2005.0,comedy,,,,
dan in real life,2007.0,"romantic comedy, comedy-drama, drama, comedy, romance film, domestic comedy",,,,
dan morgan,1911.0,"silent film, drama",,,,
dana paani,1989.0,"crime fiction, action, drama",,,,
dance 'til dawn,1988.0,"romantic comedy, family film, comedy, teen",,,,
dance band,1935.0,"music, romance film, comedy film",,,,
dance craze,1981.0,"music, documentary",,,,
dance dance,1987.0,musical,,,,
dance hall racket,1953.0,crime fiction,,,,
dance in the rain,1961.0,drama,,,,
dance lexie dance,1996.0,short film,,,,
dance macabre,1992.0,horror,,,,
dance madness,1926.0,silent film,,,,
dance me outside,1994.0,"ensemble film, drama, indie, film adaptation",,,,
dance me to my song,1998.0,drama,,,,
dance of a dream,2001.0,"romantic comedy, world cinema, musical, comedy, romance film, chinese movies",,,,
dance of death,1969.0,"drama, film adaptation",,,,
dance of fire,1949.0,comedy film,,,,
dance of ganesha,2011.0,"short film, drama",,,,
dance of the dead,2005.0,"cult, zombie film, horror, television movie",,,,
dance of the dead,2008.0,"zombie film, horror, indie, teen, comedy",,,,
dance of the drunk mantis,1979.0,"dogme 95, world cinema, action comedy, action/adventure, martial arts film, comedy, action, chinese movies",,,,
dance of the dwarfs,1983.0,"horror, fantasy, filipino movies, adventure",,,,
dance of the wind,1997.0,"music, drama, art film",,,,
dance on the volcano,1920.0,"silent film, indie, black-and-white",,,,
dance party usa,2006.0,"drama, indie",,,,
dance pretty lady,1932.0,drama,,,,
dance star,2010.0,musical,,,,
dance to the spirits,2009.0,documentary,,,,
dance with a stranger,1985.0,"crime fiction, biography, docudrama, period piece, drama, biopic [feature], courtroom drama",,,,
dance with me,1998.0,"romantic drama, romance film, drama, comedy",,,,
dance with me henry,1956.0,"family film, comedy, black-and-white, slapstick",,,,
dance with the wind,2004.0,romantic comedy,,,,
dance! workout with barbie,1992.0,short film,,,,
"dance, fools, dance",1931.0,"crime fiction, drama, pre-code, black-and-white",,,,
"dance, girl, dance",1940.0,"black-and-white, musical, drama, comedy, romantic drama, romance film",,,,
dancehall queen,1997.0,"crime fiction, melodrama, drama, world cinema",,,,
dancer,1991.0,"romantic drama, romance film, drama, world cinema",,,,
dancer,2005.0,,,,,
"dancer, texas pop. 81",1998.0,"indie, slice of life story, americana, comedy-drama, coming of age, comedy, drama, family film",2300000.0,,,
dancers,1987.0,drama,,,,
dancers in the dark,1932.0,"musical, drama, romance film",,,,
dances of the kwakiutl,1951.0,"short film, documentary",,,,
dances with wolves,1990.0,"adventure, epic western, costume drama, indian western, film adaptation, epic, action/adventure, revisionist western, western, drama, period piece, war film",19000000.0,,,
dancin' it's on,2015.0,,12000000.0,,,
dancin' thru the dark,1990.0,comedy,,,,
dancing at lughnasa,1998.0,"period piece, drama, indie, world cinema",,,,
dancing at the blue iguana,2000.0,"crime fiction, ensemble film, erotic drama, indie, drama, romantic drama, romance film, erotica",,,,
dancing at the harvest moon,2002.0,"romance film, drama",,,,
dancing co ed,1939.0,"romance film, comedy",,,,
dancing darkies,1896.0,"short film, silent film, documentary",,,,
dancing for oliver,2006.0,documentary,,,,
dancing girls,1896.0,silent film,,,,
dancing in september,2000.0,"romantic comedy, parody, television movie, comedy-drama, drama, comedy, media satire, romance film",,,,
dancing in the dark,1949.0,musical,,,,
dancing in the dark,1986.0,drama,,,,
dancing in the dust,1989.0,comedy,,,,
dancing lady,1933.0,"romantic comedy, backstage musical, black-and-white, musical, pre-code, comedy, romance film",,,,
dancing lion,2007.0,"chinese movies, comedy-drama, workplace comedy, world cinema, comedy",,,,
dancing mad,1925.0,"comedy film, drama, silent film",,,,
dancing mothers,1926.0,silent film,,,,
dancing ninja,2010.0,"crime fiction, action, martial arts film, comedy",,,,
dancing pirate,1936.0,musical,,,,
dancing queen,2012.0,"romance film, comedy film, drama, family film",,,,
dancing romeo,1944.0,"short film, family film, comedy, black-and-white",,,,
dancing with crime,1947.0,"crime fiction, mystery, drama",,,,
dancing with the pros,2005.0,"short film, biographical film, comedy",,,,
dancing with time,2007.0,documentary,,,,
dandelion,2004.0,"romance film, tragedy, drama, indie, romantic drama",,,,
dandelion dead,1994.0,"crime fiction, courtroom drama, drama, whodunit, crime drama",,,,
dandelion game,1998.0,family film,,,,
dandelion wine,1997.0,"science fiction, adventure",,,,
dandupalya,2012.0,crime fiction,,,,
dandy dick,1935.0,"comedy, black-and-white",,,,
dane cook: vicious circle,2006.0,"concert film, comedy, stand-up comedy, television movie",,,,
dang bireley's and young gangsters,1997.0,crime fiction,,,,
dangal,2016.0,,9500000.0,12391761.0,291331875.0,303723636.0
danger,2005.0,thriller,,,,
danger beneath the sea,2001.0,"thriller, action/adventure, action thrillers, action, television movie",,,,
danger flight,1939.0,"action/adventure, action, adventure, juvenile delinquency film, ""childrens/family""",,,,
danger island,1992.0,"horror, adventure",,,,
danger lights,1930.0,"romantic drama, romance film, drama, black-and-white",,,,
danger list,1959.0,short film,,,,
danger on dartmoor,1980.0,drama,,,,
danger on the air,1938.0,mystery,,,,
danger route,1967.0,"thriller, action/adventure, drama, film adaptation, action, spy",,,,
danger signal,1945.0,"crime fiction, drama, black-and-white, film noir",,,,
danger tomorrow,1960.0,crime fiction,,,,
danger valley,1937.0,"western, musical, action, drama, adventure",,,,
danger within,1958.0,"black-and-white, war film",,,,
danger zone,1997.0,"thriller, action, adventure",,,,
danger – love at work,1937.0,screwball comedy,,,,
danger!! death ray,1967.0,"science fiction, spy",,,,
"danger, go slow",1918.0,"silent film, indie, black-and-white, comedy",,,,
danger: diabolik,1968.0,"crime fiction, thriller, world cinema, superhero movie, caper story, master criminal films, superhero, action/adventure, action",,,,
dangerous,1935.0,"drama, black-and-white",,,,
dangerous beauty,1998.0,"costume drama, biopic [feature], period piece, drama, film adaptation, romantic drama, romance film, feminist film, biographical film",,,,
dangerous cargo,1954.0,"crime fiction, drama",,,,
dangerous child,2001.0,"crime fiction, family drama, drama, psychological thriller, television movie",,,,
dangerous crossing,1953.0,"thriller, mystery, drama, film noir",,,,
dangerous curves,1929.0,black-and-white,,,,
dangerous curves,1989.0,comedy film,,,,
dangerous dan mcfoo,1939.0,"short film, family film, comedy, animation",,,,
dangerous exile,1957.0,"historical fiction, action, drama, adventure, film adaptation",,,,
dangerous for your life!,1985.0,comedy film,,,,
dangerous game,1993.0,"drama, indie",,,,
dangerous game,1987.0,"thriller, horror, drama",,,,
dangerous game,1982.0,"crime fiction, mystery",,,,
dangerous ground,1997.0,"crime fiction, drama, political drama, indie",,,,
dangerous hours,1919.0,"romantic drama, silent film, drama, political drama, black-and-white",,,,
dangerous ishq,2012.0,"thriller, romance film, horror",,,,
dangerous liaisons,2012.0,"mystery, romance film, drama",24200000.0,,,
dangerous liaisons,1988.0,"costume drama, period piece, drama, comedy, film adaptation, romantic drama, romance film",24200000.0,,,
dangerous lies,1921.0,"silent film, drama, indie, black-and-white",,,,
dangerous living: coming out in the developing world,2003.0,"lgbt, documentary",,,,
dangerous medicine,1938.0,"crime fiction, drama",,,,
dangerous minds,1995.0,"crime fiction, thriller, drama, biopic [feature], biographical film, teen",,,,
dangerous mission,1954.0,"crime fiction, crime thriller, drama, thriller, mystery",,,,
dangerous money,1946.0,"thriller, mystery, crime fiction, comedy",,,,
dangerous moonlight,1941.0,"drama, adventure, black-and-white, war film",,,,
dangerous nan mcgrew,1930.0,"western, romance film, comedy film",,,,
dangerous parking,2007.0,drama,,,,
dangerous passage,1944.0,"thriller, black-and-white, action/adventure, drama, crime thriller, romantic drama, romance film, action",,,,
dangerous seas,1931.0,crime fiction,,,,
dangerous summer,2000.0,"period piece, drama",,,,
dangerous to know,1938.0,"crime fiction, mystery",,,,
dangerous touch,1994.0,"thriller, erotic thriller, drama",,,,
dangerous when wet,1953.0,"romantic comedy, romance film, comedy, musical, musical comedy",,,,
dangerously close,1986.0,"action thrillers, thriller, action, drama",,,,
dangerously they live,1941.0,"thriller, romance film, drama, war film",,,,
dangers of a bride,1917.0,"short film, silent film, black-and-white",,,,
dangers of the canadian mounted,1948.0,"action, adventure, black-and-white",,,,
daniel,1983.0,"crime fiction, drama, political drama, film adaptation",,,,
daniel,1970.0,comedy,,,,
daniel amos live in anaheim 1985,2003.0,,,,,
daniel and the towers,1987.0,"family drama, drama, television movie",,,,
daniel boone,1936.0,"western, historical fiction, adventure",,,,
"daniel boone, trail blazer",1956.0,"action/adventure, western, biography, adventure, period piece",,,,
daniel dafoe's robinson crusoe,1997.0,"adventure, costume drama, action/adventure, period piece, drama, film adaptation",,,,
daniel deronda,1921.0,"romance film, drama, silent film",,,,
daniel deronda,2002.0,,,,,
daniel tosh: completely serious,2007.0,"comedy, stand-up comedy",,,,
daniel – der zauberer,2004.0,"biographical film, indie",,,,
daniel's daughter,2008.0,"romantic drama, romance film, drama, television movie",,,,
daniele cortis,1947.0,drama,,,,
danielle steel's 'palomino',1997.0,"romance film, drama",,,,
danielle steel's a perfect stranger,1994.0,"romantic drama, romance film, television movie, drama, film adaptation",,,,
danielle steel's star,1993.0,"romance film, drama",,,,
