Name,Year,Genres,Budget,domestic_gross,foreign_gross,worldwide_gross
"angélique, marquise des anges",1964.0,"romantic drama, romance film, drama, world cinema",,,,
anhonee,1973.0,drama,,,,
anhoni,1974.0,,,,,
ani to sono musume,1956.0,"japanese movies, drama, black-and-white",,,,
aniki-bóbó,1942.0,black-and-white,,,,
anillo de compromiso,1951.0,drama,,,,
anima,2003.0,"short film, drama, horror",,,,
anima - symphonie phantastique,1981.0,drama,,,,
anima and persona,2010.0,"crime fiction, action, comedy",,,,
anima mundi,1991.0,"short film, documentary",,,,
anima persa,1977.0,"thriller, mystery, drama",,,,
animal,2005.0,"crime fiction, drama",,,,
animal crackers,1930.0,"absurdism, screwball comedy, black-and-white, musical, pre-code, comedy",,,,
animal crossing,2006.0,"anime, japanese movies",,,,
animal factory,2000.0,"crime fiction, drama, prison",,,,
animal farm,1981.0,"adult, pornographic movie",,,,
animal farm,1954.0,"parody, animation, drama, comedy, film adaptation, political cinema, political drama, dystopia",,,,
animal farm,1999.0,"film adaptation, drama, political drama, comedy",,,,
animal kingdom,2010.0,"thriller, crime fiction, drama",4200000.0,,,
animal room,1995.0,"action, drama, addiction drama, teen",,,,
animal treasure island,1971.0,"japanese movies, adventure, animation, anime, drama, family film",,,,
animal world,2018.0,,,,,
animal's run,2011.0,drama,,,,
animalada,2001.0,"black comedy, sex comedy, satire, comedy, world cinema",,,,
animals,2003.0,"comedy film, documentary",5500000.0,,,
animals are beautiful people,1974.0,"nature, animals, educational, world cinema, documentary",,,,
animals united,2010.0,"family film, animation",,,,
animalympics,1980.0,"indie, animation",,,,
animated alias: tribunal,2004.0,"short film, animation",,,,
animation runner kuromi,2001.0,"short film, comedy, animation",,,,
animato,1969.0,"short film, animation",,,,
anita,1967.0,"thriller, romantic drama, romance film, drama, world cinema",,,,
anita and me,2002.0,"comedy-drama, period piece, coming of age, comedy, film adaptation, drama, teen",,,,
anita needs me,1963.0,short film,,,,
anita o'day: the life of a jazz singer,2007.0,"culture & society, music, biography, documentary",,,,
anita takes a chance,2001.0,"drama, comedy",,,,
anita: swedish nymphet,1973.0,"romance film, drama, erotica, world cinema",,,,
aniyan bava chetan bava,1995.0,"drama, comedy",,,,
