Name,Year,Genres,Budget,domestic_gross,foreign_gross,worldwide_gross
le puits aux trois vérités,1961.0,comedy,,,,
le pèlerin de camp nou,2009.0,"sports, drama",,,,
le père noël a les yeux bleus,1969.0,"comedy-drama, black-and-white",,,,
le père noël est une ordure,1982.0,"comedy film, comedy",,,,
le péril jeune,1994.0,"comedy-drama, comedy",,,,
le périscope,1916.0,"silent film, black-and-white",,,,
le quattro volte,2011.0,,,,,
le quiet squad,1967.0,"short film, animation",,,,
le quotidien des automates,2006.0,"short film, animation",,,,
le radeau de la méduse,1998.0,"history, drama, adventure",,,,
le retour à la raison,1923.0,"short film, experimental film",,,,
le rire,1953.0,short film,,,,
le roi danse,2000.0,"musical, historical fiction, drama",,,,
le roi des champs-élysées,1934.0,"comedy of errors, comedy, black-and-white",,,,
le roi et l'oiseau,1952.0,"""childrens/family"", fairy tale, animation, fantasy, ""childrens fantasy"", romance film, family film",,,,
le rose del deserto,2006.0,"comedy, war film",,,,
le rouge et le noir,1954.0,drama,,,,
le récif de corail,1939.0,"drama, adventure",,,,
le révélateur,1968.0,"silent film, drama, indie, black-and-white",,,,
le rêve de rico,2001.0,"short film, thriller",,,,
le rêve de tiya,2008.0,short film,,,,
le rêve du radjah ou la forêt enchantée,1900.0,"short film, silent film, fantasy",,,,
le salamandre,1969.0,"romance film, drama, erotica",,,,
le samouraï,1967.0,"thriller, crime fiction, drama, mystery",,,,
le sauvage,1975.0,"adventure, comedy",,,,
le scaphandre et le papillon,2007.0,,14000000.0,,,
le schpountz,1999.0,"comedy film, romance film",,,,
le secret de mayerling,1949.0,historical drama,,,,
le secret du chevalier d'éon,1959.0,comedy,,,,
le secret du lone star,1920.0,"silent film, indie, black-and-white",,,,
le sedicenni,1965.0,romance film,,,,
le sei mogli di barbablù,1950.0,comedy,,,,
le serpent,2006.0,thriller,,,,
le soldatesse,1965.0,"drama, war film",,,,
le sourire du serpent,2006.0,drama,,,,
le spie uccidono a beirut,1965.0,spy,,,,
le stagioni del nostro amore,1965.0,drama,,,,
le streghe,1965.0,"romance film, drama, comedy",,,,
le tartuffe,1984.0,comedy,,,,
le tatoué,1968.0,comedy,,,,
le tempestaire,1947.0,"short film, fantasy, drama",,,,
le temps d'un film,2007.0,documentary,,,,
le temps du loup,2003.0,"crime fiction, science fiction, drama, world cinema, doomsday film",,,,
le tigre aime la chair fraiche,1964.0,"action thrillers, glamorized spy film, spy",,,,
le tigre se parfume à la dynamite,1965.0,"action thrillers, glamorized spy film, spy",,,,
le tonnerre de dieu,1965.0,comedy-drama,,,,
le toubib,1979.0,"romantic drama, drama, war film",,,,
le tracassin,1961.0,comedy film,,,,
le traquenard,1915.0,crime fiction,,,,
le trio en si bémol,1988.0,comedy,,,,
le trou,1960.0,"thriller, world cinema, crime drama, black-and-white, mystery, drama, escape film, prison",,,,
le tue mani sul mio corpo,1970.0,"thriller, giallo",,,,
le vampire de düsseldorf,1965.0,"crime fiction, drama",,,,
le vieux fusil,1975.0,"thriller, melodrama, drama, war film",,,,
le violon rouge,1999.0,,10000000.0,,,
le volcan interdit,1966.0,documentary,,,,
le voyage d'inuk,2010.0,adventure,,,,
le voyage de gulliver à lilliput et chez les géants,1902.0,"short film, silent film, fantasy, indie, black-and-white",,,,
le voyage en douce,1980.0,"drama, world cinema",,,,
le voyage à alger,2009.0,drama,,,,
le voyageur,2005.0,"short film, animation",,,,
le voyageur de la toussaint,1943.0,"crime fiction, drama",,,,
le voyou,1970.0,"crime fiction, thriller, world cinema, action/adventure, drama, crime thriller, action",,,,
le wazzou polygame,1971.0,drama,,,,
le week-end,2014.0,,,,,
le weekend,1967.0,"drama, surrealism, world cinema, dystopia",,,,
lea,1996.0,"romantic drama, romance film, drama, world cinema",,,,
leadbelly,1976.0,"biography, americana, musical, drama, biopic [feature], biographical film, musical drama",,,,
leader,1964.0,"world cinema, musical, drama, romantic drama, romance film, bollywood",,,,
leading lizzie astray,1914.0,"short film, silent film, comedy, black-and-white, indie",,,,
leading to war,2008.0,documentary,,,,
"leafie, a hen into the wild",2011.0,"family film, drama, adventure, animation",,,,
league of gods,2016.0,,,182000.0,,
lean on me,1989.0,"biography, docudrama, drama, biopic [feature], coming of age, biographical film, action",,,,
lean on pete,2018.0,,8000000.0,,,
leap,2020.0,,,,,
leap into bliss,1934.0,comedy film,,,,
leap of faith,1992.0,"romantic comedy, comedy-drama, drama, comedy, romance film, religious film",,,,
leap of love,2008.0,romance film,,,,
leap year (2011),2011.0,,,,,
leap!,2017.0,,,21900000.0,81400000.0,103300000.0
leap! 2017 re0release,2017.0,,,,,
"learn how to read and write, son",1981.0,"drama, comedy",,,,
learners,2007.0,"drama, comedy",,,,
learning to drive,2015.0,,,,,
learning to lie,2003.0,"romance film, comedy-drama",,,,
lease of life,1954.0,drama,,,,
leather gloves,1948.0,drama,,,,
leather jacket love story,1998.0,"lgbt, romantic comedy, gay, gay interest, drama, comedy, gay themed, romantic drama, romance film",,,,
leather jackets,1992.0,"crime fiction, melodrama, drama",,,,
